Level,Name,Option,Coin Address,PopTracker Group,Logic,Easy Skip,Hard Skip,Insane Skip,Misc
Andy's House,Andy's House - Andy's Room - Crib #2 - Coin,Coinsanity,0x0C7518,Andy's Room,Double Jump and Ledge Grab and Push and Pole Climb and Rope Sliding and Visor,Double Jump or (Ledge Grab and Pole Climb and Push),,,
Andy's House,Andy's House - Hallway - Plant #2 - Coin,Coinsanity,0x0C7788,Andy's Room,Double Jump or Ledge Grab or Pole Climb,,,,
Andy's House,Andy's House - Hallway - Table by Rex - Coin,Coinsanity,0x0C7668,Andy's Room,Double Jump or Ledge Grab or Pole Climb,,,,
Andy's House,Andy's House - Hallway - Attic Cord #1 - Coin,Coinsanity,0x0C7798,Andy's Room,Pole Climb,,,,
Andy's House,Andy's House - Hallway - Attic Cord #2 - Coin,Coinsanity,0x0C77A8,Andy's Room,Pole Climb,,,,
Andy's House,Andy's House - Attic - Boss Arena - Coin,Coinsanity,0x0C75C8,Attic,Pole Climb,,,,
Andy's House,Andy's House - Attic - W Boxes #2 - Coin,Coinsanity,0x0C75B8,Attic,Double Jump and Pole Climb and Ledge Grab,,,,
Andy's House,Andy's House - Attic - W Boxes #1 - Coin,Coinsanity,0x0C75A8,Attic,Double Jump and Pole Climb and Ledge Grab,,,,
Andy's House,Andy's House - Attic - N Boxes #1 - Coin,Coinsanity,0x0C7588,Attic,Double Jump and Pole Climb and Ledge Grab,,,,
Andy's House,Andy's House - Attic - N Boxes #2 - Coin,Coinsanity,0x0C7598,Attic,Double Jump and Pole Climb and Ledge Grab,,,,
Andy's House,Andy's House - Attic - Beams near Battery - Coin,Coinsanity,0x0C7578,Attic,Push and Pole Climb and Ledge Grab and (Double Jump or Pole Vault),(Pole Climb and Double Jump and Pole Vault) or (Pole Climb and Double Jump and Ledge Grab),,,
Andy's House,Andy's House - Attic - Beams Left Side - Coin,Coinsanity,0x0C7558,Attic,Push and Pole Climb and Ledge Grab and (Double Jump or Pole Vault),(Pole Climb and Double Jump and Pole Vault) or (Pole Climb and Double Jump and Ledge Grab),,,
Andy's House,Andy's House - Attic - Beams Right side - Coin,Coinsanity,0x0C7568,Attic,Push and Pole Climb and Ledge Grab and (Double Jump or Pole Vault),(Pole Climb and Double Jump and Pole Vault) or (Pole Climb and Double Jump and Ledge Grab),,,
Andy's House,Andy's House - Attic - Bouncing Zurg Robot - Coin,Coinsanity,0x0C3472,Attic,Ledge Grab and Pole Climb and Push and (Double Jump or Pole Vault) and (Laser or Spin or Stomp),((Laser or Spin or Stomp) and (Pole Climb and Double Jump and Pole Vault)) or ((Laser or Spin or Stomp) and (Pole Climb and Double Jump and Ledge Grab)),,,
Andy's House,Andy's House - Living Room - Shelf near Kitchen - Coin,Coinsanity,0x0C7618,Living Room,Double Jump or Pole Climb,Ledge Grab,,,
Andy's House,Andy's House - Living Room - Side Table near Window - Coin,Coinsanity,0x0C7658,Living Room,(Double Jump and Ledge Grab) or (Stomp and (Ledge Grab or Pole Climb or Double Jump)),Stomp,Double Jump and Ledge Grab,,
Andy's House,Andy's House - Living Room - Bouncing Zurg Robot #1 - Coin,Coinsanity,0x0C3C2A,Living Room,((Laser or Spin or Stomp) and Double Jump and Ledge Grab) or (Stomp and (Ledge Grab or Pole Climb or Double Jump)),Stomp,Double Jump and Ledge Grab and (Laser or Spin),,
Andy's House,Andy's House - Living Room - Bouncing Zurg Robot #2 - Coin,Coinsanity,0x0C3CC2,Living Room,Stomp and Double Jump and Ledge Grab,,Double Jump and Ledge Grab and (Laser or Spin),,
Andy's House,Andy's House - Living Room - Corner Bookshelf #1 - Coin,Coinsanity,0x0C7628,Living Room,Stomp and Double Jump and Ledge Grab,,Double Jump and Ledge Grab,,
Andy's House,Andy's House - Living Room - Corner Bookshelf #2 - Coin,Coinsanity,0x0C7638,Living Room,Stomp and Double Jump and Ledge Grab,,Double Jump and Ledge Grab,,
Andy's House,Andy's House - Living Room - Top of Window - Coin,Coinsanity,0x0C7648,Living Room,Stomp and (Double Jump or Ledge Grab or Pole Climb),Stomp,Double Jump and Ledge Grab,,
Andy's House,Andy's House - Garage - Lower Middle Shelf - Coin,Coinsanity,0x0C7828,Garage,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Andy's House - Garage - Between Drills #1 - Coin,Coinsanity,0x0C74B8,Garage,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Andy's House - Garage - Between Drills #2 - Coin,Coinsanity,0x0C74C8,Garage,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Andy's House - Garage - Between Car & Trash Can #1 - Coin,Coinsanity,0x0C7808,Garage,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Andy's House - Garage - Between Car & Trash Can #2 - Coin,Coinsanity,0x0C7818,Garage,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Andy's House - Garage - Top of Car #1 - Coin,Coinsanity,0x0C74D8,Garage,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Andy's House - Garage - Top of Car #2 - Coin,Coinsanity,0x0C74E8,Garage,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Andy's House - Garage - Ceiling Light - Coin,Coinsanity,0x0C7838,Garage,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Andy's House - Garage - High Upper Shelf #1 - Coin,Coinsanity,0x0C7848,Garage,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Andy's House - Garage - High Upper Shelf #2 - Coin,Coinsanity,0x0C7498,Garage,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Andy's House - Garage - High Upper Shelf #3 - Coin,Coinsanity,0x0C74A8,Garage,Double Jump and Ledge Grab and Pole Climb and Pole Vault,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Andy's House - Garage - Bouncing Zurg Robot #4 - Coin,Coinsanity,0x0C3802,Garage,Double Jump and Ledge Grab and Pole Climb and Pole Vault and (Laser or Spin or Stomp),Double Jump and Ledge Grab and (Laser or Spin or Stomp),,,
Andy's House,Andy's House - Garage - Bouncing Zurg Robot #5 - Coin,Coinsanity,0x0C389A,Garage,Double Jump and Ledge Grab and Pole Climb and Pole Vault and (Laser or Spin or Stomp),Double Jump and Ledge Grab and (Laser or Spin or Stomp),,,
Andy's House,Andy's House - Garage - Propeller Zurg Robot #2 - Coin,Coinsanity,0x0C36D2,Garage,Double Jump and Ledge Grab and Pole Climb and Pole Vault and (Laser or Spin),Double Jump and Ledge Grab and (Laser or Spin),,,
Andy's House,Andy's House - Garage - Propeller Zurg Robot #3 - Coin,Coinsanity,0x0C3932,Garage,Double Jump and Ledge Grab and Pole Climb and (Laser or Spin),Double Jump and Ledge Grab and (Laser or Spin),,,
Andy's House,Andy's House - Kitchen - High Chair #1 - Coin,Coinsanity,0x0C77B8,Kitchen,Push and Double Jump and Ledge Grab,Double Jump and (Pole Climb or Ledge Grab),,,
Andy's House,Andy's House - Kitchen - High Chair #2 - Coin,Coinsanity,0x0C77F8,Kitchen,Push and Double Jump and Ledge Grab,Double Jump and (Pole Climb or Ledge Grab),,,
Andy's House,Andy's House - Kitchen - Counter near Microwave #1 - Coin,Coinsanity,0x0C7738,Kitchen,Push and Double Jump and Ledge Grab,Double Jump and (Pole Climb or Ledge Grab),,,
Andy's House,Andy's House - Kitchen - Counter near Microwave #2 - Coin,Coinsanity,0x0C7748,Kitchen,Push and Double Jump and Ledge Grab,Double Jump and (Pole Climb or Ledge Grab),,,
Andy's House,Andy's House - Kitchen - Counter near Jars #1 - Coin,Coinsanity,0x0C7758,Kitchen,Push and Double Jump and Ledge Grab,Double Jump and (Pole Climb or Ledge Grab),,,
Andy's House,Andy's House - Kitchen - Counter near Jars #2 - Coin,Coinsanity,0x0C7768,Kitchen,Push and Double Jump and Ledge Grab,Double Jump and (Pole Climb or Ledge Grab),,,
Andy's House,Andy's House - Kitchen - Top of Fridge - Coin,Coinsanity,0x0C77E8,Kitchen,Push and Double Jump and Ledge Grab,Double Jump and (Pole Climb or Ledge Grab),,,
Andy's House,Andy's House - Kitchen - Top Cabinets #1 - Coin,Coinsanity,0x0C77C8,Kitchen,Push and Double Jump and Ledge Grab,Double Jump and (Pole Climb or Ledge Grab),,,
Andy's House,Andy's House - Kitchen - Top Cabinets #2 - Coin,Coinsanity,0x0C77D8,Kitchen,Push and Double Jump and Ledge Grab,Double Jump and (Pole Climb or Ledge Grab),,,
Andy's House,Andy's House - Kitchen - Bouncing Zurg Robot #2 - Coin,Coinsanity,0x0C350A,Kitchen,Push and Double Jump and Ledge Grab and (Laser or Spin or Stomp),Double Jump and ((Laser or Spin or Stomp) and (Pole Climb or Ledge Grab)),,,
Andy's House,Andy's House - Kitchen - Propeller Zurg Robot - Coin,Coinsanity,0x0C35A2,Kitchen,Push and Double Jump and Ledge Grab and (Laser or Spin),Double Jump and ((Laser or Spin) and (Pole Climb or Ledge Grab)),,,
Andy's House,Andy's House - Basement - Mid-air between Boxes - Coin,Coinsanity,0x0C76B8,Basement,Double Jump and Ledge Grab,Double Jump,,,
Andy's House,Andy's House - Basement - Zipline - Coin,Coinsanity,0x0C7678,Basement,Double Jump and Ledge Grab,,,,
Andy's House,Andy's House - Basement - Bouncing Zurg Robot #2 - Coin,Coinsanity,0x0C3B92,Basement,Double Jump and Ledge Grab and (Laser or Spin or Stomp),,,,
Andy's House,Andy's House - Basement - Bouncing Zurg Robot #3 - Coin,Coinsanity,0x0C3AFA,Basement,Double Jump and Ledge Grab and (Laser or Spin or Stomp),,,,
Andy's House,Andy's House - Basement - 1st Lightbulb Cord - Coin,Coinsanity,0x0C7858,Basement,Double Jump and Ledge Grab,,,,
Andy's House,Andy's House - Basement - 2nd Lightbulb Cord - Coin,Coinsanity,0x0C7868,Basement,Double Jump and Ledge Grab and Pole Climb,,,,
Andy's House,Andy's House - Basement - Top of Boxes near Battery - Coin,Coinsanity,0x0C76A8,Basement,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Andy's House - Basement - 3rd Lightbulb Cord - Coin,Coinsanity,0x0C7878,Basement,Double Jump and Ledge Grab and Pole Climb,,,,
Andy's House,Andy's House - Basement - Shelf near Token #1 - Coin,Coinsanity,0x0C7698,Basement,Double Jump and Ledge Grab and Pole Climb and Push,Double Jump and Ledge Grab and Push,,Double Jump and Ledge Grab,
Andy's House,Andy's House - Basement - Shelf near Token #2 - Coin,Coinsanity,0x0C7688,Basement,Double Jump and Ledge Grab and Pole Climb and Push,Double Jump and Ledge Grab and Push,,Double Jump and Ledge Grab,
Andy's House,Hamm's 50 Coins Token (Andy's House),Base AP,,,Double Jump or Ledge Grab or Pole Climb,(always),,,50 Coins
Andy's House,Missing Toys Token (Andy's House),Base AP,,,Pole Climb or (Double Jump and Ledge Grab),,,,5 Missing Toys
Andy's House,Race Token (Andy's House),Base AP,,,,,,,
Andy's House,Hidden Token (Andy's House),Base AP,,,Double Jump and Ledge Grab and Pole Climb and Push,Double Jump and Ledge Grab and Push,,Double Jump and Ledge Grab,
Andy's House,Boss Token (Andy's House),Base AP,,,Pole Climb and (Laser or Spin),Pole Climb and Stomp,,,
Andy's House,Sheep (Basement),Base AP,,,Double Jump and Ledge Grab and Rope Sliding,Double Jump,,,
Andy's House,Sheep (Living Room),Base AP,,,Stomp and Double Jump and Ledge Grab,,Double Jump and Ledge Grab,,
Andy's House,Sheep (Kitchen),Base AP,,,Push and Double Jump and Ledge Grab,Double Jump and Pole Climb and Push,,,
Andy's House,Sheep (Attic),Base AP,,,Push and Pole Climb and Ledge Grab and (Double Jump or Pole Vault),(Pole Climb and Double Jump and Pole Vault) or (Pole Climb and Double Jump and Ledge Grab),,,
Andy's House,Sheep (Garage),Base AP,,,Ledge Grab and Double Jump and Pole Climb and Pole Vault,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Missing Ear,Base AP,,,Stomp and (Double Jump or Ledge Grab or Pole Climb),Stomp,Double Jump and Ledge Grab,,
Andy's House,Give Potato Head His Ear,Base AP,,,,,,,Missing Ear
Andy's House,Life (Crib) - Andy's House,Lifesanity,,,Double Jump and Ledge Grab and Push and Pole Climb and Rope Sliding and Visor,Double Jump or (Ledge Grab and Pole Climb and Push),,,
Andy's House,Life (Living Room) - Andy's House,Lifesanity,,,Stomp and Double Jump and Ledge Grab,,Double Jump and Ledge Grab,,
Andy's House,Life (Garage) - Andy's House,Lifesanity,,,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Green Laser - Andy's House,Green Laser Sanity,,,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,,,
Andy's House,Battery (Andy's Room) - Andy's House,Batterysanity,,,Double Jump and Ledge Grab and Push and Pole Climb,Double Jump and (Ledge Grab or Pole Climb),,,
Andy's House,Battery (Attic) - Andy's House,Batterysanity,,,Push and Pole Climb and Ledge Grab and (Double Jump or Pole Vault),(Pole Climb and Double Jump and Pole Vault) or (Pole Climb and Double Jump and Ledge Grab),,,
Andy's House,Battery (Basement) - Andy's House,Batterysanity,,,Double Jump and Ledge Grab and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Battery (Garage) - Andy's House,Batterysanity,,,Ledge Grab and Double Jump and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Battery (Living Room) - Andy's House,Batterysanity,,,Stomp and (Double Jump or Ledge Grab or Pole Climb),Stomp,Double Jump and Ledge Grab,,
Andy's House,Battery (Handrail) - Andy's House,Batterysanity,,,Double Jump or Pole Climb,Ledge Grab,,,
Andy's House,Talk to Rex - Andy's House,Rexsanity,,,,,,,
Andy's House,Andy's House - Hint Block (Andy's Room Bookshelf),Hint Block Sanity,,,Double Jump and Ledge Grab,Double Jump or Ledge Grab,,,
Andy's House,Andy's House - Hint Block (Andy's Room Bed),Hint Block Sanity,,,Double Jump and Ledge Grab and Push,Double Jump,,,
Andy's House,Andy's House - Hint Block (Andy's Room Dresser Shelf),Hint Block Sanity,,,Double Jump and Ledge Grab and Push and Pole Climb,Double Jump and (Ledge Grab or Pole Climb),,,
Andy's House,Andy's House - Hint Block (Andy's Room Crib),Hint Block Sanity,,,Double Jump and Ledge Grab and Push and Pole Climb and Rope Sliding,Double Jump or (Ledge Grab and Pole Climb and Push),,,
Andy's House,Andy's House - Hint Block (Top of Stairs),Hint Block Sanity,,,,,,,
Andy's House,Andy's House - Hint Block (Attic),Hint Block Sanity,,,Pole Climb,,,,
Andy's House,Andy's House - Hint Block (Bottom of Stairs),Hint Block Sanity,,,,,,,
Andy's House,Andy's House - Hint Block (Top of Garage),Hint Block Sanity,,,Ledge Grab and Double Jump and Pole Climb,Double Jump and Ledge Grab,Double Jump,,
Andy's House,Andy's House - Hint Block (Living Room Recliner),Hint Block Sanity,,,Double Jump or Ledge Grab or Pole Climb,(always),,,
Andy's Neighborhood,Andy's Neighborhood - Lawnmower Yard - In Yard #1 - Coin,Coinsanity,0x0C7628,Lawnmower Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Lawnmower Yard - In Yard #2 - Coin,Coinsanity,0x0C7638,Lawnmower Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Lawnmower Yard - In Yard #3 - Coin,Coinsanity,0x0C7658,Lawnmower Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Lawnmower Yard - In Yard #4 - Coin,Coinsanity,0x0C7648,Lawnmower Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Lawnmower Yard - In Yard #5 - Coin,Coinsanity,0x0C7618,Lawnmower Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Lawnmower Yard - Exit #1 - Coin,Coinsanity,0x0C7608,Lawnmower Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Lawnmower Yard - Exit #2 - Coin,Coinsanity,0x0C75F8,Lawnmower Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Lawnmower Yard - Exit #3 - Coin,Coinsanity,0x0C75E8,Lawnmower Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Racetrack #1 - Coin,Coinsanity,0x0C7688,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Racetrack #2 - Coin,Coinsanity,0x0C7678,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Racetrack #3 - Coin,Coinsanity,0x0C7668,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Racetrack #4 - Coin,Coinsanity,0x0C7718,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Racetrack #5 - Coin,Coinsanity,0x0C7708,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Racetrack #6 - Coin,Coinsanity,0x0C76F8,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Racetrack #7 - Coin,Coinsanity,0x0C76E8,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Racetrack #8 - Coin,Coinsanity,0x0C76D8,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Racetrack #9 - Coin,Coinsanity,0x0C76C8,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Racetrack #10 - Coin,Coinsanity,0x0C76B8,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Racetrack #11 - Coin,Coinsanity,0x0C76A8,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Racetrack #12 - Coin,Coinsanity,0x0C7698,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Below High Swing - Coin,Coinsanity,0x0C7848,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Below Low Swing - Coin,Coinsanity,0x0C7838,Central Hub,,,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - Entry #1 - Coin,Coinsanity,0x0C7728,Car Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - Entry #2 - Coin,Coinsanity,0x0C7738,Car Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - Entry #3 - Coin,Coinsanity,0x0C7748,Car Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - Right Car Lift - Coin,Coinsanity,0x0C7758,Car Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - Left Car Lift - Coin,Coinsanity,0x0C7768,Car Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - By Door - Coin,Coinsanity,0x0C7808,Car Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Pool Yard - Entry #1 - Coin,Coinsanity,0x0C75D8,Pool Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Pool Yard - Entry #2 - Coin,Coinsanity,0x0C75C8,Pool Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Pool Yard - Entry #3 - Coin,Coinsanity,0x0C75B8,Pool Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Pool Yard - Pool Surface #2 - Coin,Coinsanity,0x0C74C8,Pool Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Pool Yard - Pool Surface #3 - Coin,Coinsanity,0x0C74D8,Pool Yard,,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Propeller Zurg Robot #1 - Coin,Coinsanity,0x0C3A62,Central Hub,Laser or Spin,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Propeller Zurg Robot #2 - Coin,Coinsanity,0x0C389A,Central Hub,Laser or Spin,,,,
Andy's Neighborhood,Andy's Neighborhood - Pool Yard - Propeller Zurg Robot #1 - Coin,Coinsanity,0x0C35A2,Pool Yard,Laser or Spin,,,,
Andy's Neighborhood,Andy's Neighborhood - Pool Yard - Propeller Zurg Robot #2 - Coin,Coinsanity,0x0C33DA,Pool Yard,Laser or Spin,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Bouncing Zurg Robot #1 - Coin,Coinsanity,0x0C3932,Central Hub,Laser or Spin or Stomp,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Zurg Car #1 - Coin,Coinsanity,0x0C39CA,Central Hub,Laser or Spin or Stomp,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Zurg Car #2 - Coin,Coinsanity,0x0C376A,Central Hub,Laser or Spin or Stomp,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Zurg Car #3 - Coin,Coinsanity,0x0C363A,Central Hub,Laser or Spin or Stomp,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Zurg Car #4 - Coin,Coinsanity,0x0C3342,Central Hub,Laser or Spin or Stomp,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Zurg Car #5 - Coin,Coinsanity,0x0C36D2,Central Hub,Laser or Spin or Stomp,,,,
Andy's Neighborhood,Andy's Neighborhood - Central Hub - Bouncing Zurg Robot #2 - Coin,Coinsanity,0x0C3C2A,Central Hub,Laser or Spin or Stomp,,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - Zurg Car #1 - Coin,Coinsanity,0x0C3B92,Car Yard,Laser or Spin or Stomp,,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - Zurg Car #2 - Coin,Coinsanity,0x0C3AFA,Car Yard,Laser or Spin or Stomp,,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - Car Hood #1 - Coin,Coinsanity,0x0C77C8,Car Yard,Stomp and (Ledge Grab or Double Jump),,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - Car Hood #2 - Coin,Coinsanity,0x0C77B8,Car Yard,Stomp and (Ledge Grab or Double Jump),,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - Top of Car #1 - Coin,Coinsanity,0x0C77A8,Car Yard,Stomp and (Ledge Grab or Double Jump),,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - Top of Car #2 - Coin,Coinsanity,0x0C7798,Car Yard,Stomp and (Ledge Grab or Double Jump),,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - Top of Car #3 - Coin,Coinsanity,0x0C7788,Car Yard,Stomp and (Ledge Grab or Double Jump),,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - Car Trunk - Coin,Coinsanity,0x0C7778,Car Yard,Stomp and (Ledge Grab or Double Jump),,,,
Andy's Neighborhood,Andy's Neighborhood - Car Yard - In Washing Machine - Coin,Coinsanity,0x0C77D8,Car Yard,Stomp and (Ledge Grab or Double Jump),Double Jump and Ledge Grab,,,
